entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_dollars,exit_reason
2020-01-24 16:24:00+00:00,2020-01-24 16:25:00+00:00,Short,9221.5,9241.0,-21.5,-435.0,Time
2020-01-24 16:26:00+00:00,2020-01-24 16:27:00+00:00,Short,9221.0,9222.75,-3.75,-80.0,Time
2020-01-24 18:30:00+00:00,2020-01-24 18:31:00+00:00,Long,9163.5,9162.75,-2.75,-60.0,Time
2020-01-24 18:31:00+00:00,2020-01-24 19:01:00+00:00,Long,9162.75,9143.25,-21.5,-435.0,Time
2020-01-24 19:03:00+00:00,2020-01-24 19:04:00+00:00,Long,9136.75,9137.5,-1.25,-30.0,Time
2020-01-24 19:12:00+00:00,2020-01-24 19:14:00+00:00,Long,9130.75,9150.0,17.25,340.0,Time
2020-01-24 19:14:00+00:00,2020-01-24 19:15:00+00:00,Long,9129.5,9151.0,19.5,385.0,Time
2020-01-24 19:16:00+00:00,2020-01-24 19:18:00+00:00,Long,9124.25,9128.5,2.25,40.0,Time
2020-01-24 19:19:00+00:00,2020-01-24 19:20:00+00:00,Long,9124.75,9142.0,15.25,300.0,Time
2020-01-24 19:21:00+00:00,2020-01-24 19:22:00+00:00,Long,9117.25,9116.5,-2.75,-60.0,Time
2020-01-24 19:22:00+00:00,2020-01-24 19:23:00+00:00,Long,9116.5,9112.0,-6.5,-135.0,Time
2020-01-24 19:23:00+00:00,2020-01-24 19:24:00+00:00,Long,9112.0,9118.25,4.25,80.0,Time
2020-01-24 20:16:00+00:00,2020-01-24 20:18:00+00:00,Short,9186.0,9166.25,17.75,350.0,Time
2020-01-24 20:19:00+00:00,2020-01-24 20:20:00+00:00,Short,9188.25,9166.25,20.0,395.0,Time
2020-01-27 14:29:00+00:00,2020-01-27 14:30:00+00:00,Long,8947.0,8952.0,3.0,55.0,Time
2020-01-27 14:45:00+00:00,2020-01-27 14:47:00+00:00,Short,8999.0,8978.0,19.0,375.0,Time
2020-01-27 14:53:00+00:00,2020-01-27 14:54:00+00:00,Short,9003.0,9000.0,1.0,15.0,Time
2020-01-27 14:54:00+00:00,2020-01-27 14:55:00+00:00,Short,9000.0,8981.0,17.0,335.0,Time
2020-01-27 15:28:00+00:00,2020-01-27 15:29:00+00:00,Short,9011.0,9007.5,1.5,25.0,Time
2020-01-27 15:29:00+00:00,2020-01-27 15:31:00+00:00,Short,9007.5,8985.75,19.75,390.0,Time
2020-01-27 16:19:00+00:00,2020-01-27 16:21:00+00:00,Long,8947.75,8954.75,5.0,95.0,Time
2020-01-27 19:00:00+00:00,2020-01-27 19:01:00+00:00,Long,8989.5,9001.25,9.75,190.0,Time
2020-01-27 19:49:00+00:00,2020-01-27 19:51:00+00:00,Short,8978.25,8976.25,0.0,-5.0,Time
2020-01-27 19:51:00+00:00,2020-01-27 19:52:00+00:00,Short,8976.25,8974.0,0.25,0.0,Time
2020-01-27 19:52:00+00:00,2020-01-27 19:54:00+00:00,Short,8974.0,8971.75,0.25,0.0,Time
2020-01-27 20:46:00+00:00,2020-01-27 20:48:00+00:00,Long,8964.75,8961.5,-5.25,-110.0,Time
2020-01-27 20:48:00+00:00,2020-01-27 20:50:00+00:00,Long,8961.5,8957.5,-6.0,-125.0,Time
2020-01-27 20:50:00+00:00,2020-01-27 20:52:00+00:00,Long,8957.5,8959.0,-0.5,-15.0,Time
2020-01-28 14:35:00+00:00,2020-01-28 14:37:00+00:00,Long,9014.5,9011.25,-5.25,-110.0,Time
2020-01-28 14:37:00+00:00,2020-01-28 14:39:00+00:00,Long,9011.25,9007.0,-6.25,-130.0,Time
2020-01-28 14:40:00+00:00,2020-01-28 14:42:00+00:00,Long,9004.25,9009.0,2.75,50.0,Time
2020-01-28 15:14:00+00:00,2020-01-28 15:16:00+00:00,Short,9055.0,9032.5,20.5,405.0,Time
2020-01-28 15:17:00+00:00,2020-01-28 15:18:00+00:00,Short,9054.25,9055.0,-2.75,-60.0,Time
2020-01-28 15:18:00+00:00,2020-01-28 15:19:00+00:00,Short,9055.0,9032.25,20.75,410.0,Time
2020-01-28 15:24:00+00:00,2020-01-28 15:25:00+00:00,Short,9065.0,9053.5,9.5,185.0,Time
2020-01-28 15:27:00+00:00,2020-01-28 15:28:00+00:00,Short,9075.0,9072.5,0.5,5.0,Time
2020-01-28 15:28:00+00:00,2020-01-28 15:29:00+00:00,Short,9072.5,9050.5,20.0,395.0,Time
2020-01-28 15:29:00+00:00,2020-01-28 15:30:00+00:00,Short,9074.25,9050.5,21.75,430.0,Time
2020-01-28 15:31:00+00:00,2020-01-28 15:33:00+00:00,Short,9075.75,9057.0,16.75,330.0,Time
2020-01-28 15:34:00+00:00,2020-01-28 15:35:00+00:00,Short,9080.0,9059.75,18.25,360.0,Time
