strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Premium/Discount Long 1m,2012-12,779,-49489.0,-51809.5,-2320.5,-0.09282,0.025818639798488665,0.038510911424903725,2320.5
Premium/Discount Long 1m,2013-01,860,-51809.5,-54356.0,-2546.5,-0.10186,0.006825273010920437,0.018604651162790697,2546.5
Premium/Discount Long 1m,2013-02,706,-54356.0,-56521.5,-2165.5,-0.08662,0.005510907003444317,0.012747875354107648,2165.5
Premium/Discount Long 1m,2013-03,819,-56521.5,-59039.0,-2517.5,-0.1007,0.004940711462450593,0.017094017094017096,2517.5
Premium/Discount Long 1m,2013-04,849,-59039.0,-61709.0,-2670.0,-0.1068,0.017660044150110375,0.02237926972909305,2670.0
Premium/Discount Long 1m,2013-05,1004,-61709.0,-64751.0,-3042.0,-0.12168,0.008151287903488751,0.01593625498007968,3042.0
Premium/Discount Long 1m,2013-06,825,-64751.0,-67206.5,-2455.5,-0.09822,0.020542481053051457,0.04242424242424243,2455.5
Premium/Discount Long 1m,2013-07,812,-67206.5,-69632.5,-2426.0,-0.09704,0.010401794819498267,0.024630541871921183,2426.0
Premium/Discount Long 1m,2013-08,913,-69632.5,-72503.5,-2871.0,-0.11484,0.009316770186335404,0.019715224534501644,2872.5
Premium/Discount Long 1m,2013-09,725,-72503.5,-74682.0,-2178.5,-0.08714,0.0066119471044231645,0.022068965517241378,2178.5
Premium/Discount Long 1m,2013-10,882,-74682.0,-77293.0,-2611.0,-0.10444,0.02483660130718954,0.036281179138321996,2611.0
Premium/Discount Long 1m,2013-11,622,-77293.0,-79136.5,-1843.5,-0.07374,0.018893028206492815,0.03536977491961415,1843.5
Premium/Discount Long 1m,2013-12,692,-79136.5,-81194.5,-2058.0,-0.08232,0.013422818791946308,0.02601156069364162,2058.0
Premium/Discount Long 1m,2014-01,903,-81194.5,-83992.0,-2797.5,-0.1119,0.03882494416766879,0.05647840531561462,2800.0
Premium/Discount Long 1m,2014-02,636,-83992.0,-85949.0,-1957.0,-0.07828,0.02564102564102564,0.05188679245283019,1957.0
