candidate,filter,filter_conditions,feature_set,direction,trades,net_points,win_rate,payoff_ratio_r,avg_win_points,avg_loss_points,profit_factor,avg_points,max_drawdown_points,net_to_drawdown,folds,positive_fold_rate,min_fold_net_points,baseline_trades,baseline_net_points,baseline_win_rate,baseline_payoff_ratio_r,net_improvement,retained_trade_rate,evidence_type,robust_score
bar_best_support_reclaim_lb60_thr0.0002_hold30_long_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb60_thr0.0002_hold30_long_us_late + return_1m_positive,long,111,1354.625,0.5765765765765766,1.3717115800432451,45.5546875,33.21010638297872,1.8678625770801633,12.20382882882883,658.125,2.058309591642925,4,0.75,-142.375,215,658.375,0.5581395348837209,0.9270687882231964,696.25,0.5162790697674419,state_filtered,14.722140949949257
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,return_1m_negative,return_1m_sideeqnegative,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + return_1m_negative,long,353,4407.875,0.5354107648725213,1.3866967471445084,62.31679894179894,44.9390243902439,1.5980834464043419,12.486898016997166,1011.125,4.359376931635555,2,1.0,1016.0,369,4483.875,0.5284552845528455,1.4234897632487993,-76.0,0.9566395663956639,state_filtered,14.700904626055305
bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late,vwap_below_and_trend_120_down,vwap_sideeqbelow;trend_side_120eqdown,bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late + vwap_below_and_trend_120_down,long,141,3247.625,0.5602836879432624,1.249871523779938,110.48259493670886,88.39516129032258,1.5925782319131465,23.032801418439718,838.625,3.8725592487703087,5,1.0,220.0,398,6205.25,0.5577889447236181,1.0914769540190747,-2957.625,0.3542713567839196,state_filtered,14.64900089979562
bar_best_mean_reversion_lb30_thr1_hold30_long_us_late,trend_120_down_and_entry_close_low,trend_side_120eqdown;entry_close_zoneeqlow,bar_best_mean_reversion_lb30_thr1_hold30_long_us_late + trend_120_down_and_entry_close_low,long,201,3556.875,0.5522388059701493,1.416524163964437,74.93806306306307,52.90277777777778,1.7470464688894722,17.69589552238806,1683.0,2.1134135472370765,4,1.0,588.625,500,4569.25,0.516,1.280492290575091,-1012.375,0.402,state_filtered,14.58515660371856
bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,none,,bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,long,372,4563.75,0.5376344086021505,1.3822307231721112,60.39625,43.69476744186046,1.607245026944315,12.268145161290322,932.5,4.894101876675603,5,0.8,-8.875,372,4563.75,0.5376344086021505,1.3822307231721112,0.0,1.0,base_strategy,14.555503584472318
bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,vwap_distance_low_mid,vwap_distance_abs_rankle0.67,bar_best_momentum_lb60_thr0.0006_hold30_long_us_late + vwap_distance_low_mid,long,166,2012.25,0.536144578313253,1.4311193356226208,57.17275280898876,39.949675324675326,1.6541509203949774,12.12198795180723,586.25,3.432409381663113,5,1.0,31.875,372,4563.75,0.5376344086021505,1.3822307231721112,-2551.5,0.44623655913978494,state_filtered,14.513657247327725
bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late,minute_bucket_30_41,minute_bucket_30eq41,bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late + minute_bucket_30_41,long,137,822.875,0.5547445255474452,1.3910850463948043,25.595394736842106,18.399590163934427,1.7331551397705758,6.006386861313868,380.875,2.160485723662619,5,1.0,55.5,427,1626.625,0.5245901639344263,1.0558944636897738,-803.75,0.32084309133489464,state_filtered,14.501213974329206
bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late,minute_bucket_30_41,minute_bucket_30eq41,bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late + minute_bucket_30_41,long,137,822.875,0.5547445255474452,1.3910850463948043,25.595394736842106,18.399590163934427,1.7331551397705758,6.006386861313868,380.875,2.160485723662619,5,1.0,55.5,427,1666.375,0.5269320843091335,1.0500381659966416,-843.5,0.32084309133489464,state_filtered,14.501213974329206
bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late,minute_bucket_30_41,minute_bucket_30eq41,bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late + minute_bucket_30_41,long,137,822.875,0.5547445255474452,1.3910850463948043,25.595394736842106,18.399590163934427,1.7331551397705758,6.006386861313868,380.875,2.160485723662619,5,1.0,55.5,427,1666.375,0.5269320843091335,1.0500381659966416,-843.5,0.32084309133489464,state_filtered,14.501213974329206
bar_best_mean_reversion_lb30_thr1.4_hold30_long_us_late,vwap_below,vwap_sideeqbelow,bar_best_mean_reversion_lb30_thr1.4_hold30_long_us_late + vwap_below,long,194,3497.75,0.5618556701030928,1.3167594918877354,78.69380733944953,59.76323529411765,1.6885504072442727,18.02963917525773,1388.625,2.518858583130795,3,1.0,835.625,341,1797.375,0.5190615835777126,1.0966928092182473,1700.375,0.5689149560117303,state_filtered,14.455817971756103
bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,momentum_60_positive,momentum_60gt0.0,bar_best_momentum_lb60_thr0.0006_hold30_long_us_late + momentum_60_positive,long,331,4123.375,0.5347432024169184,1.3831894742243507,62.79590395480226,45.39935064935065,1.5897697203747407,12.457326283987916,812.25,5.076485072329947,5,0.8,-11.875,372,4563.75,0.5376344086021505,1.3822307231721112,-440.375,0.8897849462365591,state_filtered,14.451147427387049
