strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
pine_default_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long,cross_recent_5,1,1.25,2.5,30,False,-999950.7590282285,2,49.24097177149088,1.6779325472157087,0.5,24.62048588574544,72.63402822850912,-72.63402822850912
reversal_impulse_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,reversal_impulse_long+reversal_impulse_short,cross_recent_5,1,1.25,1.2,30,False,-1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
reversal_impulse_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,reversal_impulse_long+reversal_impulse_short,cross_recent_5,1,1.25,1.8,30,False,-1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
reversal_impulse_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,reversal_impulse_long+reversal_impulse_short,cross_recent_5,1,1.25,2.5,30,False,-1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
fast_boundary_reversal_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,1.8,30,False,-1000005.782475141,22,-5.7824751409680175,0.9778852884603575,0.5,-0.2628397791349099,150.8303749552615,-54.47370331392085
fast_boundary_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,2.5,30,False,-1000015.7980484046,22,-15.798048404674773,0.9395813600851545,0.5,-0.7180931093033988,160.84594821896826,-54.47370331392085
trend_ignition_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,trend_ignition_long+trend_ignition_short,cross_recent_5,1,1.25,1.2,30,False,-1000041.0893093902,1,-41.089309390165,0.0,0.0,-41.089309390165,41.089309390165,-41.089309390165
trend_ignition_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,trend_ignition_long+trend_ignition_short,cross_recent_5,1,1.25,1.8,30,False,-1000041.0893093902,1,-41.089309390165,0.0,0.0,-41.089309390165,41.089309390165,-41.089309390165
trend_ignition_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,trend_ignition_long+trend_ignition_short,cross_recent_5,1,1.25,2.5,30,False,-1000041.0893093902,1,-41.089309390165,0.0,0.0,-41.089309390165,41.089309390165,-41.089309390165
short_bias_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,bottom_breakdown_short+top_reject_short+trend_pullback_short+trend_transition_short+reversal_impulse_short,cross_recent_5,1,1.25,1.8,30,False,-1000427.9901560975,198,-427.99015609748676,0.8441231048718225,0.4393939393939394,-2.1615664449368017,613.1775319835251,-88.96885781471428
short_bias_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,bottom_breakdown_short+top_reject_short+trend_pullback_short+trend_transition_short+reversal_impulse_short,cross_recent_5,1,1.25,1.2,30,False,-1000492.6984276043,199,-492.698427604224,0.8205559169169578,0.44221105527638194,-2.475871495498613,765.5521831346705,-88.96885781471428
short_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_reject_short+trend_pullback_short+trend_transition_short+reversal_impulse_short,cross_recent_5,1,1.25,2.5,30,False,-1000551.0312241878,198,-551.0312241878419,0.8012571727078851,0.43434343434343436,-2.782985980746676,700.3315389712297,-88.96885781471428
