candidate,signal,timeframe_minutes,session,holding_minutes,direction_mode,exit_profile,entry_ts,exit_ts,symbol,direction,entry_price,exit_price,exit_reason,gross_points,net_points,net_dollars,entry_index,exit_index,fold,fold_rank,test_pass,entry_date,month,position_size,adjusted_pnl,capital,risk_state
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 18:27:00+00:00,2022-10-26 18:29:00+00:00,NQZ2,-1,11481.5,11483.5,time,-2.0,-2.625,-52.5,533259,533261,2,1,True,2022-10-26 18:27:00+00:00,2022-10,10,-525.0,105382.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 18:41:00+00:00,2022-10-26 18:43:00+00:00,NQZ2,-1,11479.5,11470.75,time,8.75,8.125,162.5,533273,533275,2,1,True,2022-10-26 18:41:00+00:00,2022-10,10,1625.0,107007.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 19:20:00+00:00,2022-10-26 19:22:00+00:00,NQZ2,-1,11478.5,11472.5,time,6.0,5.375,107.5,533312,533314,2,1,True,2022-10-26 19:20:00+00:00,2022-10,10,1075.0,108082.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 19:58:00+00:00,2022-10-26 20:00:00+00:00,NQZ2,-1,11440.5,11455.75,time,-15.25,-15.875,-317.5,533350,533352,2,1,True,2022-10-26 19:58:00+00:00,2022-10,10,-3175.0,104907.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 20:05:00+00:00,2022-10-26 20:07:00+00:00,NQZ2,1,11514.0,11448.25,time,-65.75,-66.375,-1327.5,533357,533359,2,1,True,2022-10-26 20:05:00+00:00,2022-10,10,-13275.0,91632.5,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 20:08:00+00:00,2022-10-26 20:10:00+00:00,NQZ2,-1,11418.0,11450.25,time,-32.25,-32.875,-657.5,533360,533362,2,1,True,2022-10-26 20:08:00+00:00,2022-10,2,-1315.0,90317.5,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 20:11:00+00:00,2022-10-26 20:13:00+00:00,NQZ2,-1,11442.0,11461.0,time,-19.0,-19.625,-392.5,533363,533365,2,1,True,2022-10-26 20:11:00+00:00,2022-10,2,-785.0,89532.5,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 20:17:00+00:00,2022-10-26 20:19:00+00:00,NQZ2,-1,11444.5,11437.75,time,6.75,6.125,122.5,533369,533371,2,1,True,2022-10-26 20:17:00+00:00,2022-10,2,245.0,89777.5,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 20:19:00+00:00,2022-10-26 20:21:00+00:00,NQZ2,-1,11437.5,11430.0,time,7.5,6.875,137.5,533371,533373,2,1,True,2022-10-26 20:19:00+00:00,2022-10,2,275.0,90052.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 22:02:00+00:00,2022-10-26 22:04:00+00:00,NQZ2,-1,11421.0,11422.5,time,-1.5,-2.125,-42.5,533414,533416,2,1,True,2022-10-26 22:02:00+00:00,2022-10,4,-170.0,89882.5,conservative
